,cell_name,predicted_label
10735,10735,CAFs
10736,10736,CAFs
10737,10737,TECs
10738,10738,CAFs
10739,10739,B cells
10740,10740,CAFs
10741,10741,CAFs
10742,10742,CAFs
10743,10743,CAFs
10744,10744,CAFs
10745,10745,CAFs
10746,10746,CAFs
10747,10747,CAFs
10748,10748,CAFs
10749,10749,CAFs
10750,10750,CAFs
10751,10751,CAFs
10752,10752,CAFs
10753,10753,CAFs
10754,10754,CAFs
10755,10755,CAFs
10756,10756,CAFs
10757,10757,CAFs
10758,10758,CAFs
10759,10759,CAFs
10760,10760,CAFs
10761,10761,CAFs
10762,10762,TECs
10763,10763,CAFs
10764,10764,TAMs
10765,10765,Monocytes
10766,10766,Monocytes
10767,10767,TECs
10768,10768,CAFs
10769,10769,CAFs
10770,10770,Malignant cells
10771,10771,Malignant cells
10772,10772,Hepatocytes
10773,10773,TAMs
10774,10774,TAMs
10775,10775,TAMs
10776,10776,Dendritic cells
10777,10777,T cells
10778,10778,TAMs
10779,10779,CAFs
10780,10780,CAFs
10781,10781,T cells
10782,10782,CAFs
10783,10783,Dendritic cells
10784,10784,TAMs
